a1,a2,a3,a4,a5,res
5,12,0.4166666666666671,0.15,0.083333333333333,Other_extended
5,9,0.555555555555556,0.577777777777778,0.111111111111111,Other_extended
5,6,0.833333333333333,0.1,0.133333333333333,Other_extended
16,21,0.7619047619047621,0.44642857142857106,0.041666666666667,Printed_extended
4,6,0.666666666666667,0.33333333333333304,0.166666666666667,Other_extended
29,46,0.6304347826086961,0.175412293853073,0.021739130434783,Handwritten_extended
3,4,0.75,0.25,0.25,Other_extended
20,14,1.42857142857143,0.36071428571428604,0.04642857142857199,Other_extended
23,69,0.33333333333333304,0.34404536862003804,0.014492753623188,Handwritten_extended
3,3,1.0,0.555555555555555,0.222222222222222,Other_extended
39,25,1.56,0.344615384615385,0.024615384615384997,Printed_extended
16,30,0.5333333333333329,0.18958333333333302,0.03333333333333299,Handwritten_extended
5,8,0.625,0.3,0.075,Other_extended
62,195,0.31794871794871804,0.21348221670802303,0.005128205128205,Handwritten_extended
20,65,0.307692307692308,0.250769230769231,0.014615384615384999,Printed_extended
18,16,1.125,0.336805555555555,0.052083333333333,Other_extended
14,62,0.22580645161290303,0.27304147465437806,0.016129032258065,Handwritten_extended
14,44,0.31818181818181795,0.545454545454545,0.022727272727273,Printed_extended
6,5,1.2,0.5,0.133333333333333,Other_extended
368,16,23.0,0.126868206521739,0.0025475543478260003,Other_extended
5,11,0.45454545454545503,0.072727272727273,0.054545454545455,Other_extended
3,12,0.25,0.055555555555556,0.083333333333333,Other_extended
15,93,0.161290322580645,0.189247311827957,0.009318996415771,Printed_extended
5,5,1.0,0.36,0.16,Other_extended
6,12,0.5,0.166666666666667,0.083333333333333,Other_extended
11,25,0.44,0.261818181818182,0.032727272727273,Printed_extended
16,48,0.33333333333333304,0.25260416666666696,0.01953125,Handwritten_extended
5,9,0.555555555555556,0.2,0.111111111111111,Other_extended
4,13,0.307692307692308,0.153846153846154,0.076923076923077,Other_extended
9,28,0.32142857142857106,0.34126984126984095,0.031746031746032,Printed_extended
25,79,0.316455696202532,0.29924050632911403,0.012658227848101002,Handwritten_extended
7,14,0.5,0.204081632653061,0.071428571428571,Other_extended
10,5,2.0,0.48,0.08,Other_extended
16,21,0.7619047619047621,0.36607142857142894,0.035714285714286004,Printed_extended
18,79,0.22784810126582297,0.348804500703235,0.012658227848101002,Handwritten_extended
3,4,0.75,0.916666666666667,0.25,Other_extended
8,14,0.5714285714285711,0.258928571428571,0.071428571428571,Printed_extended
28,111,0.252252252252252,0.212676962676963,0.009009009009009002,Handwritten_extended
5,12,0.4166666666666671,0.116666666666667,0.083333333333333,Other_extended
13,41,0.31707317073170693,0.31519699812382695,0.024390243902439,Handwritten_extended
9,11,0.818181818181818,0.282828282828283,0.070707070707071,Other_extended
21,177,0.11864406779660999,0.376109765940274,0.005111649179446,Printed_extended
11,31,0.354838709677419,0.243401759530792,0.029325513196481,Handwritten_extended
37,26,1.42307692307692,0.291060291060291,0.025987525987526003,Handwritten_extended
5,5,1.0,0.44,0.16,Other_extended
16,47,0.340425531914894,0.386968085106383,0.021276595744681,Handwritten_extended
20,87,0.22988505747126398,0.26149425287356304,0.010344827586206999,Handwritten_extended
26,37,0.7027027027027031,0.21413721413721398,0.027027027027027,Handwritten_extended
22,41,0.536585365853659,0.352549889135255,0.022172949002217,Printed_extended
17,132,0.128787878787879,0.262923351158645,0.007575757575758001,Printed_extended
6,10,0.6,0.4,0.1,Other_extended
16,151,0.10596026490066199,0.251655629139073,0.005794701986755,Printed_extended
7,12,0.583333333333333,0.25,0.083333333333333,Other_extended
18,16,1.125,0.32291666666666696,0.052083333333333,Other_extended
15,71,0.211267605633803,0.32488262910798105,0.014084507042254,Printed_extended
3,3,1.0,0.666666666666667,0.222222222222222,Other_extended
22,16,1.375,0.41761363636363596,0.04261363636363601,Printed_extended
6,11,0.545454545454545,0.33333333333333304,0.07575757575757598,Other_extended
22,183,0.120218579234973,0.6266766020864389,0.005464480874317001,Printed_extended
15,206,0.07281553398058299,0.203236245954693,0.004854368932039001,Printed_extended
